Created On,BookingId,Product,Medium,Type,Debit,Credit,Gross Earnings,Bill Number,Available Balance,Utilization,Status,Sub-Type,Deposit Amount,Agent UserId,Payment Reference,Reason,Comments,Payment Fee,Markup,TDS,Ref. Id,Amendment Id,Logged In UserId Id,Booking User Id,Billing Date Time,Entity Code,Transaction Currency,LoggedIn username,Booking username
28-09-2024 18:23,TJ9001104537602,RAIL,Deposit,Paid For Order,1767.7,,,,13162.81,,Success,,1767.7,,5155251460,,,0,0,0,TJ9001104537602,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
28-09-2024 18:28,TJ9003104537980,RAIL,Deposit,Paid For Order,1767.7,,,,11395.11,,Success,,1767.7,,3064164161,,,0,0,0,TJ9003104537980,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
28-09-2024 18:33,TJ9083104538508,RAIL,Deposit,Paid For Order,1767.7,,,,9627.41,,Success,,1767.7,,8527881346,,,0,0,0,TJ9083104538508,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
28-09-2024 18:43,TJ9011104539390,RAIL,Deposit,Paid For Order,1767.7,,,,7859.71,,Success,,1767.7,,4704807892,,,0,0,0,TJ9011104539390,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
28-09-2024 18:47,TJ9013104539844,RAIL,Deposit,Paid For Order,1767.7,,,,6092.01,,Success,,1767.7,,7399464596,,,0,0,0,TJ9013104539844,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
28-09-2024 19:03,TJ9018104541212,RAIL,Deposit,Paid For Order,1767.7,,,,4324.31,,Success,,1767.7,,6756720094,,,0,0,0,TJ9018104541212,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
28-09-2024 19:37,TJ9018104541212,RAIL,Deposit,Reverse,,1767.7,,,6092.01,,Success,Topup,1767.7,,0566258187,,,0,0,0,TJ9018104541212,,,81068428,,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED
28-09-2024 20:21,TJ9003104547355,RAIL,Deposit,Paid For Order,1767.7,,,,4324.31,,Success,,1767.7,,8418509886,,,0,0,0,TJ9003104547355,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
28-09-2024 20:57,TJ9003104547355,RAIL,Deposit,Reverse,,1767.7,,,6092.01,,Success,Topup,1767.7,,3302884120,,,0,0,0,TJ9003104547355,,,81068428,,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED
28-09-2024 21:05,TJ9063104550231,RAIL,Deposit,Paid For Order,1767.7,,,,4324.31,,Success,,1767.7,,8172414597,,,0,0,0,TJ9063104550231,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
28-09-2024 21:12,TJ9086104550783,RAIL,Deposit,Paid For Order,1187.7,,,,3136.61,,Success,,1187.7,,8315570505,,,0,0,0,TJ9086104550783,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
30-09-2024 13:01,TJ9070104651916,RAIL,Deposit,Paid For Order,1715.4,,,,1421.21,,Success,,1715.4,,6518992381,,,0,0,0,TJ9070104651916,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
30-09-2024 13:37,TJ9070104651916,RAIL,Deposit,Reverse,,1715.4,,,3136.61,,Success,Topup,1715.4,,3016224869,,,0,0,0,TJ9070104651916,,,81068428,,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED
30-09-2024 13:41,3088104654291,WALLET_TOPUP,Netbanking,Topup,500,,,,0,,Failure,,500,,2345484018,Payment Failed. Paid using: Payphi; Payment Fee: 0.00; Failure reason: Request processed successfully,,0,0,0,3088104654291,,,81068428,,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED
30-09-2024 13:43,3039104657476,WALLET_TOPUP,Deposit,Topup,,500,,,3636.61,,Success,,500,,9645190419,Paid using: Payphi; Payment Fee: 0.00; Merchant Txn Id: 2200217842475,,0,0,0,3039104657476,,,81068428,,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED
30-09-2024 14:37,TJ9034104663264,RAIL,Deposit,Paid For Order,1477.7,,,,2158.91,,Success,,1477.7,,1641032605,,,0,0,0,TJ9034104663264,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
30-09-2024 15:05,TJ9088104666272,RAIL,Deposit,Paid For Order,1715.4,,,,443.51,,Success,,1715.4,,9431986952,,,0,0,0,TJ9088104666272,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
04-10-2024 19:21,3067105132186,WALLET_TOPUP,Deposit,Topup,,1930,,,2373.51,,Success,,1930,,4621800066,Paid using: Payphi; Payment Fee: 0.00; Merchant Txn Id: 4400219907431,,0,0,0,3067105132186,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
04-10-2024 19:27,TJ9071105133137,RAIL,Deposit,Paid For Order,1785.4,,,,588.11,,Success,,1785.4,,8778570069,,,0,0,0,TJ9071105133137,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
04-10-2024 19:28,TJ9076105133167,RAIL,Deposit,Paid For Order,537.7,,,,50.41,,Success,,537.7,,7004116564,,,0,0,0,TJ9076105133167,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
08-10-2024 19:09,3050105534054,WALLET_TOPUP,Deposit,Topup,,1550,,,1600.41,,Success,,1550,,4401731056,Paid using: Payphi; Payment Fee: 0.00; Merchant Txn Id: 4400221672307,,0,0,0,3050105534054,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
08-10-2024 19:12,TJ9031105534573,RAIL,Deposit,Paid For Order,730.4,,,,870.01,,Success,,730.4,,8308212326,,,0,0,0,TJ9031105534573,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
08-10-2024 19:14,TJ9065105534769,RAIL,Deposit,Paid For Order,880.4,,,,0,,Failure,,880.4,,2699797574,Insufficient Balance. ,,0,0,0,TJ9065105534769,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
08-10-2024 19:15,3094105534907,WALLET_TOPUP,Deposit,Topup,,10,,,880.01,,Success,,10,,0372534148,Paid using: Payphi; Payment Fee: 0.00; Merchant Txn Id: 2200221674443,,0,0,0,3094105534907,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
08-10-2024 19:17,TJ9034105535146,RAIL,Deposit,Paid For Order,880.4,,,,0,,Failure,,880.4,,2520404886,Insufficient Balance. ,,0,0,0,TJ9034105535146,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
08-10-2024 19:19,3026105535409,WALLET_TOPUP,Deposit,Topup,,50,,,930.01,,Success,,50,,2710246806,Paid using: Payphi; Payment Fee: 0.00; Merchant Txn Id: 4400221675586,,0,0,0,3026105535409,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
08-10-2024 19:21,TJ9049105535629,RAIL,Deposit,Paid For Order,880.4,,,,49.61,,Success,,880.4,,7771103706,,,0,0,0,TJ9049105535629,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
08-10-2024 19:25,TJ9031105534573,RAIL,Deposit,Refund,,620,,,669.61,,Success,Topup,620,,5065097213,,,0,0,0,TJ9031105534573,TJA66105536075,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 11:28,3024105586895,WALLET_TOPUP,Deposit,Topup,,34000,,,34669.61,,Success,,34000,,2910026238,Paid using: hdfc_ccavenue; Payment Fee: 0.00; Merchant Txn Id: 113496890270,,0,0,0,3024105586895,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 11:34,TJ9067105587766,RAIL,Deposit,Paid For Order,2547.7,,,,32121.91,,Success,,2547.7,,3524891519,,,0,0,0,TJ9067105587766,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 12:30,TJ9085105595237,RAIL,Deposit,Paid For Order,2547.7,,,,29574.21,,Success,,2547.7,,3567600078,,,0,0,0,TJ9085105595237,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 12:36,TJ9019105595938,RAIL,Deposit,Paid For Order,2547.7,,,,27026.51,,Success,,2547.7,,3753044076,,,0,0,0,TJ9019105595938,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 12:43,TJ9019105596857,RAIL,Deposit,Paid For Order,2547.7,,,,24478.81,,Success,,2547.7,,3388116152,,,0,0,0,TJ9019105596857,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 12:53,TJ9056105598338,RAIL,Deposit,Paid For Order,2547.7,,,,21931.11,,Success,,2547.7,,9710676449,,,0,0,0,TJ9056105598338,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 12:57,TJ9017105598869,RAIL,Deposit,Paid For Order,2547.7,,,,19383.41,,Success,,2547.7,,1055530699,,,0,0,0,TJ9017105598869,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 13:10,TJ9033105600569,RAIL,Deposit,Paid For Order,2547.7,,,,16835.71,,Success,,2547.7,,3756848932,,,0,0,0,TJ9033105600569,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 13:16,TJ9080105601365,RAIL,Deposit,Paid For Order,2547.7,,,,14288.01,,Success,,2547.7,,1195216101,,,0,0,0,TJ9080105601365,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 13:24,TJ9018105602585,RAIL,Deposit,Paid For Order,2547.7,,,,11740.31,,Success,,2547.7,,5019239343,,,0,0,0,TJ9018105602585,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 13:29,TJ9060105603317,RAIL,Deposit,Paid For Order,2547.7,,,,9192.61,,Success,,2547.7,,7962125749,,,0,0,0,TJ9060105603317,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 13:45,TJ9054105605527,RAIL,Deposit,Paid For Order,2547.7,,,,6644.91,,Success,,2547.7,,1974698040,,,0,0,0,TJ9054105605527,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 13:51,TJ9084105606268,RAIL,Deposit,Paid For Order,2547.7,,,,4097.21,,Success,,2547.7,,8537449819,,,0,0,0,TJ9084105606268,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 13:58,TJ9007105607180,RAIL,Deposit,Paid For Order,2547.7,,,,1549.51,,Success,,2547.7,,9459750575,,,0,0,0,TJ9007105607180,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 14:06,TJ9081105608427,RAIL,Deposit,Paid For Order,1287.7,,,,261.81,,Success,,1287.7,,8294645702,,,0,0,0,TJ9081105608427,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 14:36,3032105612168,WALLET_TOPUP,Deposit,Topup,,50000,,,50261.81,,Success,,50000,,7424332407,Paid using: hdfc_ccavenue; Payment Fee: 0.00; Merchant Txn Id: 113497187145,,0,0,0,3032105612168,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
